L001,T1,HiRes_5,0
L001,T1,L001-Face_Imitate_96i_4,192
L001,T1,L001-Face_Observe_96i_3,192
L001,T2,FACE_IMITATE_96I_6,0
L001,T2,FACE_OBSERVE_96I_5,0
L001,T2,HIRES_4,0
L002,T1,HiRes_8,0
L002,T1,L002-Face_Imitate_96i_9,192
L002,T1,L002-Face_Observe_96i_10,192
L003,T1,HiRes_3,0
L003,T1,L003-Face_Imitate_96i_5,192
L003,T1,L003-Face_Observe_96i_6,192
L004,T1,L004-Face_Imitate_96i_4,192
L004,T1,L004-Face_Observe_96i_5,192
L004,T1,L004-HiRes_2,0
L005,T1,HIRES_5,0
L005,T1,L005-Face_Imitate_96i_8,192
L005,T1,L005-Face_Observe_96i_7,192
L005,T2,FACE_IMITATE_96I_7,0
L005,T2,FACE_OBSERVE_96I_6,0
L005,T2,HIRES_3,0
L005,T3,FACE_IMITATE_96I_7,0
L005,T3,FACE_OBSERVE_96I_6,0
L005,T3,HIRES_3,0
L006,T1,HiRes_3,0
L006,T1,L006-Face_Imitate_96i_5,192
L006,T1,L006-Face_Observe_96i_6,192
L007,T1,HiRes_3,0
L007,T1,L007-Face_Imitate_96i_6,192
L007,T1,L007-Face_Observe_96i_5,192
L007,T2,FACE_IMITATE_96I_7,0
L007,T2,FACE_OBSERVE_96I_6,0
L007,T2,HIRES_3,0
L008,T1,HiRes_4,0
L008,T1,L008-Face_Imitate_96i_7,192
L008,T1,L008-Face_Observe_96i_6,192
L008,T2,FACE_IMITATE_96I_7,0
L008,T2,FACE_OBSERVE_96I_6,0
L008,T2,HIRES_3,0
L009,T1,HiRes_4,0
L009,T1,L009-Face_Imitate_96i_6,192
L009,T1,L009-Face_Observe_96i_7,192
L009,T2,FACE_IMITATE_96I_7,0
L009,T2,FACE_OBSERVE_96I_8,0
L009,T2,HIRES_4,0
L010,T1,HiRes_4,0
L010,T1,L010-Face_Imitate_96i_6,192
L010,T1,L010-Face_Observe_96i_7,192
L011,T1,HiRes_3,0
L011,T1,L011-Face_Imitate_96i_6,192
L011,T1,L011-Face_Observe_96i_5,192
L011,T2,FACE_IMITATE_96I_7,0
L011,T2,FACE_OBSERVE_96I_6,0
L011,T2,HIRES_3,0
L014,T1,HiRes_3,0
L014,T1,L014-Face_Imitate_96i_6,192
