Subj	gender	pdss_c	pdss_c2	age_c	age_c2	InputFile
19	female	2.07941176470588	4.32395328719723	0.711766013071896	0.506610857364263	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L019_ses-wave2_con_0006.nii
19	female	2.07941176470588	4.32395328719723	4.18976601307189	17.5541392442924	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L019_ses-wave3_con_0006.nii
20	female	-0.920588235294117	0.847482698961937	-2.32723398692811	5.41601802991328	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L020_ses-wave1_con_0006.nii
20	female	-0.420588235294117	0.17689446366782	0.733766013071895	0.538412561939424	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L020_ses-wave2_con_0006.nii
22	female	-0.920588235294117	0.847482698961937	-2.5492339869281	6.49859392010936	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L022_ses-wave1_con_0006.nii
22	female	-1.42058823529412	2.01807093425605	0.278766013071897	0.0777104900440008	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L022_ses-wave2_con_0006.nii
22	female	1.57941176470588	2.49454152249135	3.59276601307189	12.9079676246845	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L022_ses-wave3_con_0006.nii
23	female	-1.42058823529412	2.01807093425605	-2.6272339869281	6.90235842207014	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L023_ses-wave1_con_0006.nii
23	female	0.0794117647058825	0.00630622837370245	0.503766013071896	0.253780195926354	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L023_ses-wave2_con_0006.nii
23	female	1.57941176470588	2.49454152249135	3.5807660130719	12.8218852403708	/Volumes/psych-cog/dsnlab/SFIC/nonbids_data/fMRI/analysis/rx/AFNI/FX_models/sub-L023_ses-wave3_con_0006.nii
